Trial,DTL 0,DTL 1,DTL 2,DTL 3,DTL 4,DTL 5,DTL 6,DTL 7,DTL 8,DTL 9,DTL 10,DTL 11,DTL 12,DTL 13,DTL 14,DTL 15,DTL 16,DTL 17,DTL 18,DTL 19,DTL 20,DTL 21,DTL 22,DTL 23,DTL 24,DTL 25
10,0.1260811041239576,0.1492643995176711,0.1492643995176711,0.1818797038600653,0.1818797038600653,0.1818797038600653,0.218052316028884,0.218052316028884,0.218052316028884,0.218052316028884,0.218052316028884,0.218052316028884,0.218052316028884,0.218052316028884,0.218052316028884,0.2230557967572697,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936
11,0.0959986287318944,0.1417917634694561,0.1417917634694561,0.1557367510468285,0.1557367510468285,0.1557367510468285,0.1926010995826954,0.1926010995826954,0.1926010995826954,0.1926010995826954,0.1926010995826954,0.1926010995826954,0.1926010995826954,0.1926010995826954,0.2072085343013044,0.2072085343013044,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.218052316028884,0.218052316028884,0.2308226160100936,0.2308226160100936
12,0.1934247165322419,0.1934247165322419,0.212514374592277,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2308226160100936,0.2308226160100936
13,0.0552138155741195,0.0835171142653884,0.0835171142653884,0.1079977207035502,0.1290014438345433,0.1290014438345433,0.1290014438345433,0.1863310345108159,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936
14,0.0939821629676716,0.0955723606982961,0.1669536096699956,0.1669536096699956,0.1669536096699956,0.1669536096699956,0.1669536096699956,0.1669536096699956,0.1669536096699956,0.1669536096699956,0.1669536096699956,0.1669536096699956,0.1669536096699956,0.1669536096699956,0.1669536096699956,0.1669536096699956,0.1669536096699956,0.1994548395145483,0.1994548395145483,0.1994548395145483,0.1994548395145483,0.1994548395145483,0.2042625723021851,0.2042625723021851,0.212514374592277,0.2230557967572697
15,0.0943744308212208,0.0943744308212208,0.1386863460027617,0.1386863460027617,0.1386863460027617,0.1769722100114457,0.1769722100114457,0.1769722100114457,0.1769722100114457,0.1769722100114457,0.1769722100114457,0.1769722100114457,0.1926010995826954,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936
16,0.0303975732049089,0.0310592268832614,0.0310592268832614,0.0665220242859141,0.0665220242859141,0.0665220242859141,0.0665220242859141,0.0665220242859141,0.0665220242859141,0.0665220242859141,0.0665220242859141,0.1451703687142151,0.1708669472694875,0.1708669472694875,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936
17,0.0853487796119619,0.0990413093075769,0.0990413093075769,0.150016494068053,0.150016494068053,0.150016494068053,0.1604948047755671,0.1604948047755671,0.1604948047755671,0.1604948047755671,0.1604948047755671,0.1604948047755671,0.1818797038600653,0.1926010995826954,0.1926010995826954,0.1926010995826954,0.1926010995826954,0.1994548395145483,0.2042625723021851,0.2042625723021851,0.2042625723021851,0.2230557967572697,0.2230557967572697,0.2308226160100936,0.2308226160100936,0.2308226160100936
18,0.0103893262059606,0.0639966307095026,0.0639966307095026,0.0665761455723681,0.1138349419893622,0.1451703687142151,0.1698521663837583,0.1708669472694875,0.1708669472694875,0.1708669472694875,0.2230557967572697,0.2230557967572697,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936
19,0.0758874547065282,0.0912033430290231,0.0965720237653867,0.0965720237653867,0.0965720237653867,0.0965720237653867,0.0965720237653867,0.1565783991113055,0.1565783991113055,0.1565783991113055,0.1994548395145483,0.1994548395145483,0.1994548395145483,0.1994548395145483,0.1994548395145483,0.1994548395145483,0.212514374592277,0.212514374592277,0.212514374592277,0.2230557967572697,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936
