Experiments,r1,r2,r3,r4,r5,r6,r7,x1,x2,p
Exp_85,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.18421052631578946,0.2105263157894737,0.0
Exp_86,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.02631578947368418,-0.10526315789473684,0.0
Exp_87,0.0,0.0,0.0,0.0,0.1,0.0,0.1,-0.13157894736842107,-0.15789473684210525,0.0
Exp_88,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.05263157894736842,0.2368421052631579,0.0
Exp_89,0.0,0.0,0.0,0.0,0.1,0.0,0.1,-0.2894736842105263,-0.15789473684210525,0.0
Exp_90,0.0,0.0,0.0,0.0,0.1,0.0,0.1,-0.10526315789473684,0.1842105263157895,0.0
Exp_91,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2631578947368421,-0.0789473684210526,0.0
Exp_92,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.28947368421052627,-0.15789473684210525,0.0
Exp_93,0.0,0.0,0.0,0.0,0.1,0.0,0.1,-2.7755575615628914e-17,0.3421052631578947,0.0
Exp_94,0.0,0.0,0.0,0.0,0.1,0.0,0.1,-0.026315789473684237,0.47368421052631576,0.0
Exp_95,0.0,0.0,0.0,0.0,0.1,0.0,0.1,-0.39473684210526316,0.05263157894736842,0.0
Exp_96,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.34210526315789475,0.15789473684210525,0.0
Exp_97,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0789473684210526,0.15789473684210525,0.0
Exp_98,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.13157894736842105,-0.15789473684210528,0.0
Exp_99,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.02631578947368418,-0.21052631578947367,0.0
Exp_100,0.0,0.0,0.0,0.0,0.1,0.1,0.0,-0.39473684210526316,0.0,0.0
Exp_101,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.21052631578947367,-0.1842105263157895,0.0
Exp_102,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.18421052631578946,-0.3157894736842105,0.0
Exp_103,0.0,0.0,0.0,0.0,0.1,0.1,0.0,-0.07894736842105263,-0.15789473684210528,0.0
Exp_104,0.0,0.0,0.0,0.0,0.1,0.1,0.0,-0.368421052631579,-0.13157894736842105,0.0
Exp_105,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.18421052631578946,0.2105263157894737,0.0
Exp_106,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.02631578947368418,-0.10526315789473684,0.0
Exp_107,0.0,0.0,0.0,0.0,0.1,0.1,0.0,-0.13157894736842107,-0.15789473684210525,0.0
Exp_108,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.05263157894736842,0.2368421052631579,0.0
Exp_109,0.0,0.0,0.0,0.0,0.1,0.1,0.0,-0.2894736842105263,-0.15789473684210525,0.0
Exp_110,0.0,0.0,0.0,0.0,0.1,0.1,0.0,-0.10526315789473684,0.1842105263157895,0.0
Exp_111,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2631578947368421,-0.0789473684210526,0.0
Exp_112,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.28947368421052627,-0.15789473684210525,0.0
Exp_113,0.0,0.0,0.0,0.0,0.1,0.1,0.0,-2.7755575615628914e-17,0.3421052631578947,0.0
Exp_114,0.0,0.0,0.0,0.0,0.1,0.1,0.0,-0.026315789473684237,0.47368421052631576,0.0
Exp_115,0.0,0.0,0.0,0.0,0.1,0.1,0.0,-0.39473684210526316,0.05263157894736842,0.0
Exp_116,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.34210526315789475,0.15789473684210525,0.0
Exp_117,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0789473684210526,0.15789473684210525,0.0
Exp_118,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.13157894736842105,-0.15789473684210528,0.0
Exp_119,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.02631578947368418,-0.21052631578947367,0.0
Exp_120,0.0,0.0,0.0,0.0,0.1,0.1,0.1,-0.39473684210526316,0.0,0.0
Exp_121,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.21052631578947367,-0.1842105263157895,0.0
Exp_122,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.18421052631578946,-0.3157894736842105,0.0
Exp_123,0.0,0.0,0.0,0.0,0.1,0.1,0.1,-0.07894736842105263,-0.15789473684210528,0.0
Exp_124,0.0,0.0,0.0,0.0,0.1,0.1,0.1,-0.368421052631579,-0.13157894736842105,0.0
Exp_125,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.18421052631578946,0.2105263157894737,0.0
Exp_126,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.02631578947368418,-0.10526315789473684,0.0
Exp_127,0.0,0.0,0.0,0.0,0.1,0.1,0.1,-0.13157894736842107,-0.15789473684210525,0.0
Exp_128,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.05263157894736842,0.2368421052631579,0.0
Exp_129,0.0,0.0,0.0,0.0,0.1,0.1,0.1,-0.2894736842105263,-0.15789473684210525,0.0
Exp_130,0.0,0.0,0.0,0.0,0.1,0.1,0.1,-0.10526315789473684,0.1842105263157895,0.0
Exp_131,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2631578947368421,-0.0789473684210526,0.0
